rs,question,correct,distractor,successRate,question_correct,fill_in_blank,explicit_question,colon_end,what_was_first,true_false,has_img,has_code
70,Co reprezentuje typ 'float'?,reálná čísla,pravdivostní hodnoty,81.347,Co reprezentuje typ 'float'? reálná čísla,0,1,0,0,0,0,0
70,Co reprezentuje typ 'bool'?,pravdivostní hodnoty,celá čísla,94.792,Co reprezentuje typ 'bool'? pravdivostní hodnoty,0,1,0,0,0,0,0
70,Co reprezentuje typ 'list'?,seznamy,slovníky,93.048,Co reprezentuje typ 'list'? seznamy,0,1,0,0,0,0,0
70,Co reprezentuje typ 'str'?,řetězce,seznamy,85.859,Co reprezentuje typ 'str'? řetězce,0,1,0,0,0,0,0
70,Co reprezentuje typ 'dict'?,slovníky,seznamy,87.861,Co reprezentuje typ 'dict'? slovníky,0,1,0,0,0,0,0
65,Která logická spojka má při vyhodnocování větší prioritu?,and,or,67.876,Která logická spojka má při vyhodnocování větší prioritu? and,0,1,0,0,0,0,0
65,Která logická spojka má při vyhodnocování větší prioritu?,not,and,53.409,Která logická spojka má při vyhodnocování větší prioritu? not,0,1,0,0,0,0,0
65,Která logická spojka má při vyhodnocování větší prioritu?,not,or,65.952,Která logická spojka má při vyhodnocování větší prioritu? not,0,1,0,0,0,0,0
65,Jaký je význam operace 'not'?,negace logické hodnoty,nepravdivá logická hodnota,73.566,Jaký je význam operace 'not'? negace logické hodnoty,0,1,0,0,0,0,0
69,Kolikrát se vypíše celer?,čtyřikrát,dvakrát,66.079,Kolikrát se vypíše celer? čtyřikrát,0,1,0,0,0,0,0
69,Kolikrát se vypíše celer?,jednou,dvakrát,62.929,Kolikrát se vypíše celer? jednou,0,1,0,0,0,0,0
69,Kolikrát se vypíše celer?,dvakrát,jednou,81.619,Kolikrát se vypíše celer? dvakrát,0,1,0,0,0,0,0
69,Kolikrát se vypíše celer?,dvakrát,jednou,60.385,Kolikrát se vypíše celer? dvakrát,0,1,0,0,0,0,0
69,Kolikrát se vypíše celer?,ani jednou,třikrát,60.674,Kolikrát se vypíše celer? ani jednou,0,1,0,0,0,0,0
69,Kolikrát se vypíše celer?,jednou,čtyřikrát,59.524,Kolikrát se vypíše celer? jednou,0,1,0,0,0,0,0
69,Kolikrát se vypíše celer?,šestkrát,čtyřikrát,52.273,Kolikrát se vypíše celer? šestkrát,0,1,0,0,0,0,0
69,Co vypíše program?,mrkev,celer,58.71,Co vypíše program? mrkev,0,1,0,0,0,0,0
69,Co vypíše program?,23,32,45.122,Co vypíše program? 23,0,1,0,0,0,0,0
69,Co vypíše program?,nic,15,57.609,Co vypíše program? nic,0,1,0,0,0,0,0
69,Vypíše se víc celeru nebo mrkve?,celeru,mrkve,66.253,Vypíše se víc celeru nebo mrkve? celeru,0,1,0,0,0,0,0
69,Vypíše se víc celeru nebo mrkve?,mrkve,celeru,54.036,Vypíše se víc celeru nebo mrkve? mrkve,0,1,0,0,0,0,0
69,Vypíše se celer?,ne,ano,64.186,Vypíše se celer? ne,0,1,0,0,0,0,0
69,Vypíše se celer?,ne,ano,60.849,Vypíše se celer? ne,0,1,0,0,0,0,0
69,Vypíše se celer?,ne,ano,78.542,Vypíše se celer? ne,0,1,0,0,0,0,0
69,Vypíše se celer?,ne,ano,66.25,Vypíše se celer? ne,0,1,0,0,0,0,0
69,Vypíše se celer?,ano,ne,46.988,Vypíše se celer? ano,0,1,0,0,0,0,0
69,Vypíše se celer?,ano,ne,59.606,Vypíše se celer? ano,0,1,0,0,0,0,0
69,Vypíše se celer?,ne,ano,57.778,Vypíše se celer? ne,0,1,0,0,0,0,0
69,Vypíše se celer?,ne,ano,62.069,Vypíše se celer? ne,0,1,0,0,0,0,0
69,Vypíše se celer?,ne,ano,57.471,Vypíše se celer? ne,0,1,0,0,0,0,0
69,Vypíše se celer?,ano,ne,35.955,Vypíše se celer? ano,0,1,0,0,0,0,0
69,Vypíše se celer?,ano,ne,62.245,Vypíše se celer? ano,0,1,0,0,0,0,0
69,"Existuje x, pro které f(x) vypíše celer?",ne,ano,60.674,"Existuje x, pro které f(x) vypíše celer? ne",0,1,0,0,0,0,0
69,"Existuje x, pro které f(x) vypíše celer?",ano,ne,63.636,"Existuje x, pro které f(x) vypíše celer? ano",0,1,0,0,0,0,0
69,Ovlivní x hodnotu f(x)?,ano,ne,59.174,Ovlivní x hodnotu f(x)? ano,0,1,0,0,0,0,0
69,Ovlivní x hodnotu f(x)?,ne,ano,48.387,Ovlivní x hodnotu f(x)? ne,0,1,0,0,0,0,0
69,"Ovlivní x, kolikrát se vypíše celer?",ne,ano,60.674,"Ovlivní x, kolikrát se vypíše celer? ne",0,1,0,0,0,0,0
69,"Existuje x, pro které f(x) vypíše celer?",ne,ano,60.417,"Existuje x, pro které f(x) vypíše celer? ne",0,1,0,0,0,0,0
69,Ovlivní x návratovou hodnotu f(x)?,ne,ano,64.444,Ovlivní x návratovou hodnotu f(x)? ne,0,1,0,0,0,0,0
69,Ovlivní x hodnotu f(x)?,ne,ano,59.512,Ovlivní x hodnotu f(x)? ne,0,1,0,0,0,0,0
69,"Existuje x, pro které je f(x) > x?",ne,ano,59.211,"Existuje x, pro které je f(x) > x? ne",0,1,0,0,0,0,0
69,Ovlivní x hodnotu f(x)?,ano,ne,36.986,Ovlivní x hodnotu f(x)? ano,0,1,0,0,0,0,0
69,Může být f(x) záporné?,ano,ne,46.341,Může být f(x) záporné? ano,0,1,0,0,0,0,0
69,Ovlivní x hodnotu f(x)?,ne,ano,48.148,Ovlivní x hodnotu f(x)? ne,0,1,0,0,0,0,0
69,Může f(x) vrátit 42?,ano,ne,47.826,Může f(x) vrátit 42? ano,0,1,0,0,0,0,0
69,"Může f(x, y) vrátit 42?",ne,ano,64.948,"Může f(x, y) vrátit 42? ne",0,1,0,0,0,0,0
69,"Může f(x, y) vrátit 42?",ano,ne,63.208,"Může f(x, y) vrátit 42? ano",0,1,0,0,0,0,0
69,Může f(x) vrátit 42?,ne,ano,61.644,Může f(x) vrátit 42? ne,0,1,0,0,0,0,0
69,"Může f(x, y) vrátit 42?",ne,ano,63.043,"Může f(x, y) vrátit 42? ne",0,1,0,0,0,0,0
69,"Může f(x, y) vrátit 42?",ne,ano,61.111,"Může f(x, y) vrátit 42? ne",0,1,0,0,0,0,0
69,"Může f(x, y) vrátit 42?",ano,ne,53.409,"Může f(x, y) vrátit 42? ano",0,1,0,0,0,0,0
69,Může cook(x) vypsat celer?,ano,ne,45.882,Může cook(x) vypsat celer? ano,0,1,0,0,0,0,0
69,Může cook(x) vypsat celer?,ne,ano,63.636,Může cook(x) vypsat celer? ne,0,1,0,0,0,0,0
69,Může cook(x) vypsat celer?,ne,ano,39.189,Může cook(x) vypsat celer? ne,0,1,0,0,0,0,0
69,Může se funkce f zacyklit?,ano,ne,54.902,Může se funkce f zacyklit? ano,0,1,0,0,0,0,0
69,Vrací funkce f druhou mocninu?,ne,ano,58.065,Vrací funkce f druhou mocninu? ne,0,1,0,0,0,0,0
69,Co dělá funkce f?,vrací druhou mocninu,vypisuje druhou mocninu,73.763,Co dělá funkce f? vrací druhou mocninu,0,1,0,0,0,0,0
69,Co vrací funkce f?,původní číslo,absolutní hodnotu,48.37,Co vrací funkce f? původní číslo,0,1,0,0,0,0,0
69,Co vrací funkce f?,druhou mocninu,druhou a třetí mocninu,56.41,Co vrací funkce f? druhou mocninu,0,1,0,0,0,0,0
70,Určete typ:,float,int,87.368,Určete typ: float,0,0,1,0,0,0,0
70,Určete typ:,float,fraction,72.376,Určete typ: float,0,0,1,0,0,0,0
70,Určete typ:,float,int,61.364,Určete typ: float,0,0,1,0,0,0,0
70,Určete typ:,str,float,62.121,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,str,int,72.353,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,str,bool,60.234,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,str,list,56.316,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,str,char,72.826,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,str,NoneType,64.796,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,int,str,63.021,Určete typ: int,0,0,1,0,0,0,0
70,Určete typ:,str,float,69.0,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,list,str,78.689,Určete typ: list,0,0,1,0,0,0,0
70,Určete typ:,float,list,53.571,Určete typ: float,0,0,1,0,0,0,0
70,Určete typ:,str,list,59.341,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,list,int,82.587,Určete typ: list,0,0,1,0,0,0,0
70,Určete typ:,tuple,list,69.014,Určete typ: tuple,0,0,1,0,0,0,0
70,Určete typ:,list,tuple,70.647,Určete typ: list,0,0,1,0,0,0,0
70,Určete typ:,tuple,dict,77.457,Určete typ: tuple,0,0,1,0,0,0,0
70,Určete typ:,str,tuple,72.251,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,tuple,str,59.162,Určete typ: tuple,0,0,1,0,0,0,0
70,Určete typ:,tuple,list,70.313,Určete typ: tuple,0,0,1,0,0,0,0
70,Určete typ:,tuple,float,46.032,Určete typ: tuple,0,0,1,0,0,0,0
70,Určete typ:,set,dict,59.14,Určete typ: set,0,0,1,0,0,0,0
70,Určete typ:,set,dict,54.545,Určete typ: set,0,0,1,0,0,0,0
70,Určete typ:,dict,set,70.681,Určete typ: dict,0,0,1,0,0,0,0
70,Určete typ:,int,str,52.688,Určete typ: int,0,0,1,0,0,0,0
70,Určete typ:,list,dict,61.404,Určete typ: list,0,0,1,0,0,0,0
70,Určete typ:,dict,tuple,73.418,Určete typ: dict,0,0,1,0,0,0,0
70,Určete typ:,str,dict,52.247,Určete typ: str,0,0,1,0,0,0,0
70,Určete typ:,NoneType,str,86.022,Určete typ: NoneType,0,0,1,0,0,0,0
70,Určete typ:,complex,int,78.723,Určete typ: complex,0,0,1,0,0,0,0
70,Určete typ:,int,float,52.273,Určete typ: int,0,0,1,0,0,0,0
70,Jsou seznamy měnitelné (mutable)?,ano,ne,79.191,Jsou seznamy měnitelné (mutable)? ano,0,1,0,0,0,0,0
70,Jsou množiny měnitelné (mutable)?,ano,ne,59.016,Jsou množiny měnitelné (mutable)? ano,0,1,0,0,0,0,0
70,Jsou slovníky měnitelné (mutable)?,ano,ne,68.449,Jsou slovníky měnitelné (mutable)? ano,0,1,0,0,0,0,0
70,Jsou řetězce měnitelné (mutable)?,ne,ano,59.278,Jsou řetězce měnitelné (mutable)? ne,0,1,0,0,0,0,0
70,Jsou n-tice (tuple) měnitelné (mutable)?,ne,ano,73.016,Jsou n-tice (tuple) měnitelné (mutable)? ne,0,1,0,0,0,0,0
70,Jsou celá čísla (int) měnitelná (mutable)?,ne,ano,57.377,Jsou celá čísla (int) měnitelná (mutable)? ne,0,1,0,0,0,0,0
70,Jsou reálná čísla (float) měnitelná (mutable)?,ne,ano,68.478,Jsou reálná čísla (float) měnitelná (mutable)? ne,0,1,0,0,0,0,0
70,Jsou pravdivostní hodnoty (bool) měnitelné (mutable)?,ne,ano,69.347,Jsou pravdivostní hodnoty (bool) měnitelné (mutable)? ne,0,1,0,0,0,0,0
70,Dojde k chybě?,ano,ne,86.413,Dojde k chybě? ano,0,1,0,0,0,0,0
70,Dojde k chybě?,ano,ne,71.505,Dojde k chybě? ano,0,1,0,0,0,0,0
70,Dojde k chybě?,ne,ano,48.087,Dojde k chybě? ne,0,1,0,0,0,0,0
70,Dojde k chybě?,ano,ne,65.556,Dojde k chybě? ano,0,1,0,0,0,0,0
70,Dojde k chybě?,ano,ne,57.303,Dojde k chybě? ano,0,1,0,0,0,0,0
70,Dojde k chybě?,ne,ano,61.14,Dojde k chybě? ne,0,1,0,0,0,0,0
70,Dojde k chybě?,ano,ne,69.945,Dojde k chybě? ano,0,1,0,0,0,0,0
70,Dojde k chybě?,ne,ano,48.663,Dojde k chybě? ne,0,1,0,0,0,0,0
70,Dojde k chybě?,ano,ne,71.728,Dojde k chybě? ano,0,1,0,0,0,0,0
70,Dojde k chybě?,ano,ne,48.205,Dojde k chybě? ano,0,1,0,0,0,0,0
70,Dojde k chybě?,ne,ano,50.785,Dojde k chybě? ne,0,1,0,0,0,0,0
70,Dojde k chybě?,ne,ano,50.556,Dojde k chybě? ne,0,1,0,0,0,0,0
70,Dojde k chybě?,ano,ne,56.784,Dojde k chybě? ano,0,1,0,0,0,0,0
70,Kterými typy proměnných lze indexovat slovníky?,neměnitelnými,měnitelnými,51.5,Kterými typy proměnných lze indexovat slovníky? neměnitelnými,0,1,0,0,0,0,0
70,"Seznamy, n-tice i řetězce indexujeme v Pythonu:",od 0,od 1,80.829,"Seznamy, n-tice i řetězce indexujeme v Pythonu: od 0",0,0,1,0,0,0,0
70,Lze slovníky indexovat pomocí seznamů?,ne,ano,46.196,Lze slovníky indexovat pomocí seznamů? ne,0,1,0,0,0,0,0
70,Lze slovníky indexovat pomocí n-tic (tuple)?,ano,ne,61.34,Lze slovníky indexovat pomocí n-tic (tuple)? ano,0,1,0,0,0,0,0
70,V čem se množiny liší od seznamů?,Prvky v množině nemají dané pořadí.,Množina si pamatuje počty výskytů prvků.,68.452,V čem se množiny liší od seznamů? Prvky v množině nemají dané pořadí.,0,1,0,0,0,0,0
70,Jaký je rozdíl mezi seznamy a n-ticemi?,N-tice je neměnitelná.,Prvky v n-tici nemají dané pořadí.,74.611,Jaký je rozdíl mezi seznamy a n-ticemi? N-tice je neměnitelná.,0,1,0,0,0,0,0
70,"Jak to, že lze zvyšovat čísla (x += 1), když jsou neměnitelná (immutable)?","Mění se pouze odkaz, nikoliv hodnota.",Neměnitelnost se dočasně povolí.,87.429,"Jak to, že lze zvyšovat čísla (x += 1), když jsou neměnitelná (immutable)? Mění se pouze odkaz, nikoliv hodnota.",0,1,0,0,0,0,0
70,Může volání f(x) změnit hodnotu proměnné x?,pouze pokud x je měnitelného typu,pouze pokud je x kolekce (např. seznam),73.295,Může volání f(x) změnit hodnotu proměnné x? pouze pokud x je měnitelného typu,0,1,0,0,0,0,0
70,Jaký datový typ je vhodný k uložení počtu výskytů slov v textu?,slovník,množina,58.201,Jaký datový typ je vhodný k uložení počtu výskytů slov v textu? slovník,0,1,0,0,0,0,0
70,Jaký datový typ je vhodný k uložení pořadí kroků v receptu?,seznam,množina,84.574,Jaký datový typ je vhodný k uložení pořadí kroků v receptu? seznam,0,1,0,0,0,0,0
70,Jaký datový typ je vhodný k uložení unikátních slov v textu?,množina,seznam,53.608,Jaký datový typ je vhodný k uložení unikátních slov v textu? množina,0,1,0,0,0,0,0
69,Je kód správně?,ne,ano,67.773,Je kód správně? ne,0,1,0,0,0,0,0
69,Je kód správně?,ne,ano,69.62,Je kód správně? ne,0,1,0,0,0,0,0
69,Je kód správně?,ne,ano,77.928,Je kód správně? ne,0,1,0,0,0,0,0
69,Je kód správně?,ne,ano,50.575,Je kód správně? ne,0,1,0,0,0,0,0
69,Je kód správně?,ano,ne,48.101,Je kód správně? ano,0,1,0,0,0,0,0
69,Je kód správně?,ne,ano,65.236,Je kód správně? ne,0,1,0,0,0,0,0
69,Je kód správně?,ne,ano,68.317,Je kód správně? ne,0,1,0,0,0,0,0
69,Je kód správně?,ne,ano,67.416,Je kód správně? ne,0,1,0,0,0,0,0
69,Je kód správně?,ne,ano,62.621,Je kód správně? ne,0,1,0,0,0,0,0
69,Je kód správně?,ne,ano,73.301,Je kód správně? ne,0,1,0,0,0,0,0
69,Dojde k chybě?,ano,ne,70.917,Dojde k chybě? ano,0,1,0,0,0,0,0
69,Dojde k chybě?,ano,ne,75.165,Dojde k chybě? ano,0,1,0,0,0,0,0
69,Dojde k chybě?,ano,ne,65.517,Dojde k chybě? ano,0,1,0,0,0,0,0
69,Dojde k chybě?,ne,ano,57.557,Dojde k chybě? ne,0,1,0,0,0,0,0
69,Dojde k chybě?,ne,ano,59.406,Dojde k chybě? ne,0,1,0,0,0,0,0
69,Dojde k chybě?,ne,ano,58.889,Dojde k chybě? ne,0,1,0,0,0,0,0
69,Co dělá funkce f?,vrací dvojnásobek,vypisuje dvojnásobek,75.336,Co dělá funkce f? vrací dvojnásobek,0,1,0,0,0,0,0
69,Doplňte:,return,print,64.319,Doplňte: return,0,0,1,0,0,0,0
69,Doplňte:,x,4,59.729,Doplňte: x,0,0,1,0,0,0,0
69,Lze jednu funkci zavolat víckrát?,ano,ne,87.389,Lze jednu funkci zavolat víckrát? ano,0,1,0,0,0,0,0
69,Může funkce nemít žádné parametry?,ano,ne,67.873,Může funkce nemít žádné parametry? ano,0,1,0,0,0,0,0
69,Které typy proměnných lze funkci předávat?,libovolné,pouze čísla,75.217,Které typy proměnných lze funkci předávat? libovolné,0,1,0,0,0,0,0
69,"Aby se funkce provedla, musíme ji:",zavolat,definovat,63.559,"Aby se funkce provedla, musíme ji: zavolat",0,0,1,0,0,0,0
65,Vyhodnoťte:,chyba,True,56.213,Vyhodnoťte: chyba,0,0,1,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,64.881,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,74.387,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,40.116,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,67.532,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,63.69,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,62.877,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,65.124,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,71.828,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,74.053,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,49.153,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,47.674,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,68.343,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,69.003,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,67.895,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,70.424,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,65.116,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,67.857,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,70.256,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,56.858,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,56.14,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,49.438,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,43.636,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,52.417,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,55.422,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,51.875,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,60.674,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,58.708,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,63.065,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,72.973,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,37.572,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,63.881,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,59.459,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,76.406,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,76.836,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,65.972,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,63.708,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,48.077,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,49.123,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,71.934,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,62.5,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ne,ano,49.112,Jsou tyto výrazy ekvivalentní? ne,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,57.576,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,Jsou tyto výrazy ekvivalentní?,ano,ne,61.25,Jsou tyto výrazy ekvivalentní? ano,0,1,0,0,0,0,0
65,"Existují x, y, pro které podmínka platí?",ne,ano,66.019,"Existují x, y, pro které podmínka platí? ne",0,1,0,0,0,0,0
65,"Existuje x, pro které podmínka platí?",ne,ano,64.398,"Existuje x, pro které podmínka platí? ne",0,1,0,0,0,0,0
